"Id","ProfileType","Category","Attribute","ObisCode","IsValidated","AttributeIndex"
"f1e5a60a-0b13-42bb-84be-8ba4875018e9","1","CT","SumLineReactivePowerQ1","1.0.5.8.0.255","1","2"
"4241dfac-02ed-4f39-8463-a28e224c1232","1","CT","SumLineReactivePowerQ2","1.0.6.8.0.255","1","2"
"f2755dc1-57c1-4bfb-bdda-e3901487f60d","1","CT","SumLineReactivePowerQ3","1.0.7.8.0.255","1","2"
"79a5b3d6-f159-4ee2-a03d-53aa989c989a","1","CT","SumLineReactivePowerQ4","1.0.8.8.0.255","1","2"
"432d9752-8c8d-4940-98ea-7e1ebe882814","1","CT","SupplyFrequency","1.0.14.7.0.255","1","2"
"6832f295-7c1d-4b80-bbd3-c668248091ae","1","CT","Temperature","0.0.96.9.128.255","0","2"
"36387526-13f8-4d95-ab39-32124006fd44","1","CT","YPhaseCurrent","1.0.51.7.0.255","1","2"
"c61e4323-20cd-4639-aca7-ae3161ef45b0","1","CT","YPhasePowerFactor","1.0.53.7.0.255","1","2"
"c19e7a01-4004-4d9d-a4b3-e53567be8840","1","CT","YPhaseRelayStatus","0.0.96.3.134.255","0","2"
"f0a97837-46e4-44f1-a1f4-a48d4b5f8eba","1","CT","YPhaseVoltage","1.0.52.7.0.255","1","2"
"bb996564-221c-405f-91aa-7f5e21985fce","2","1P","Ambient temperature","0.0.96.9.0.255","0","2"
"7aa11687-297e-4fbf-81f8-f29022a98a18","2","1P","AverageCurrent","1.0.11.27.0.255","1","2"
"d7e1c5cd-0441-4772-8321-ea1be9dcb8da","2","1P","AveragePF","1.0.0.2.1.129","0","2"
"a1d88172-f9de-446b-801b-082b78f3415c","2","1P","AverageSignalStrength","0.1.96.12.5.255","0","2"
"697b5687-74a2-4451-aba0-c2daec2ebe10","2","1P","AverageVoltage","1.0.12.27.0.255","1","2"
"c6262a55-ac65-4335-b3ca-22c462023029","2","1P","Battery voltage","0.0.96.6.3.255","0","2"
"e0f48d1c-c72b-44b3-b1a2-34249b98fb33","2","1P","CumulativeEnergyKvahExport","1.0.10.29.0.255","1","2"
"21e88429-1758-4aa1-baf2-6413439f4bb4","2","1P","CumulativeEnergyKvahImport","1.0.9.29.0.255","1","2"
"091c369f-2989-45f4-9a77-8e2806a5bd42","2","1P","CumulativeEnergyKwhExport","1.0.2.29.0.255","1","2"
"d10e97f2-f0eb-4065-a2ac-602b794e4e67","2","1P","CumulativeEnergyKwhImport","1.0.1.29.0.255","1","2"
